Datetime,Wind_Speed_Med,Wind_Direction_Med,Umi_Med,Temp_Med,Air_Press_Med,DHI_Med,GHI_Med,DNI_Med,Precip_Sum
2020-05-07 00:00:00-03:00,1.9168180555555554,154.96776875,73.59150555555556,27.782706944444445,1007.6022638888888,0.0,245.3408712013889,236.83285174305558,0.0
2020-05-08 00:00:00-03:00,2.115385416666667,189.21234583333333,76.3783173611111,27.062705416666667,1008.8366145833334,0.0,219.95549191666666,134.2395579375,0.0
2020-05-09 00:00:00-03:00,2.474563888888889,165.8931340277778,74.62741666666666,27.177849513888887,1009.7509354166666,0.0,231.40648037499997,230.9967653611111,0.0006944444444444445
2020-05-10 00:00:00-03:00,2.052363888888889,155.65380277777777,76.06117499999999,27.332388680555553,1009.9823965277778,0.0,243.5454965555556,244.14255111111112,0.0
2020-05-11 00:00:00-03:00,2.1107458333333335,167.93502291666667,73.84162777777777,27.591147638888888,1009.4454930555556,0.0,245.97395824999998,276.52415494444443,0.0006944444444444445
2020-05-12 00:00:00-03:00,,,,,,,,,
2020-05-13 00:00:00-03:00,1.8077708333333335,173.18654305555555,84.30530625,26.330306944444445,1007.7762687500001,0.0,229.97194372222222,190.01806629166668,0.14652777777777778
2020-05-14 00:00:00-03:00,1.8634243055555555,170.18282708333334,89.87026250000001,25.79381,1007.866763888889,0.0,167.4791801597222,76.97761568749999,0.2326388888888889
2020-05-15 00:00:00-03:00,1.7554604166666667,182.8392986111111,96.38013125,24.441324930555552,1008.5302840277777,0.0,20.3254876875,13.308360159722222,0.4222222222222222
2020-05-16 00:00:00-03:00,1.3323159722222222,177.5107138888889,89.06757638888888,25.794014375,1008.8975215277777,0.01440703472222222,168.6366730763889,78.043273,0.04375
2020-05-17 00:00:00-03:00,1.7687534722222222,173.00611527777778,84.92561041666666,26.661503472222222,1009.1804291666667,0.0,182.47888125,112.5325763888889,0.0
2020-05-18 00:00:00-03:00,2.0012986111111113,177.6339013888889,84.93445555555556,27.0723625,1009.7142937499999,0.046322916666666665,222.6363826388889,202.2648923611111,0.04236111111111111
2020-05-19 00:00:00-03:00,2.1409902777777776,169.97044791666667,83.53488819444445,27.458989583333334,1009.5393854166666,0.026088194444444445,257.8848458333334,273.2948486111111,0.08263888888888889
2020-05-20 00:00:00-03:00,2.200708333333333,160.06377916666668,86.06402222222222,26.60603125,1009.2762881944444,0.006563888888888889,188.86269166666665,126.09960833333334,0.15000000000000002
2020-05-21 00:00:00-03:00,2.262386805555556,141.22518194444444,79.23821388888888,27.76268125,1009.2584458333333,0.0,224.87914027777776,205.47855555555554,0.01597222222222222
2020-05-22 00:00:00-03:00,2.213075,165.6283125,80.70457291666668,27.338854166666668,1009.325736111111,0.007147916666666667,197.70147708333332,102.26903888888889,0.3159722222222222
2020-05-23 00:00:00-03:00,1.2871923611111111,188.28694305555555,96.24453125,23.876570833333332,1009.5253194444444,0.0022805555555555556,15.131303472222223,13.240359027777778,0.44027777777777777
2020-05-24 00:00:00-03:00,1.2147097222222223,173.85606944444444,94.07880138888889,24.47031388888889,1008.9702034722221,0.0,79.89786180555556,23.52661736111111,0.19791666666666666
2020-05-25 00:00:00-03:00,0.9394951388888888,179.23016527777776,91.19717708333333,25.482375,1008.7199048611112,0.0,113.36364652777777,30.176678472222225,0.026388888888888892
2020-05-26 00:00:00-03:00,1.0187,144.34473402777778,84.04115069444444,27.06209861111111,1009.0073638888888,1.388888888888889e-05,215.66073055555555,227.77969722222224,0.0
2020-05-27 00:00:00-03:00,1.1719520833333332,139.1744875,84.04494444444444,27.23942013888889,1008.3950208333333,0.0,224.00738680555554,234.28046458333333,0.0
2020-05-28 00:00:00-03:00,1.500775,169.47800555555557,84.46077777777778,27.006234722222224,1008.2354173611111,0.13718680555555554,195.76882152777776,175.65341805555556,0.06319444444444446
2020-05-29 00:00:00-03:00,2.5071333333333334,189.87063472222223,88.87715902777778,24.662665277777776,1008.80263125,20.307835416666666,114.0337486111111,17.28959236111111,0.09722222222222222
2020-05-30 00:00:00-03:00,2.5050381944444444,181.01374791666666,81.68831805555556,26.186807638888887,1008.8276805555555,0.0,197.13343055555555,184.7623625,0.0
2020-05-31 00:00:00-03:00,1.3554194444444443,161.9828076388889,84.85515208333334,26.142535416666664,1009.2170409722223,3.0277652777777777,211.87334444444443,219.2517388888889,0.08333333333333333
2020-06-01 00:00:00-03:00,1.4692909722222223,165.94656666666666,83.06203611111111,26.76823263888889,1009.2036263888889,5.0037569444444445,230.1285576388889,245.49533680555558,0.0006944444444444445
2020-06-02 00:00:00-03:00,1.6185888888888889,167.11488055555554,82.92132083333334,26.98476527777778,1009.6632034722222,38.64609513888889,235.07580138888886,281.4740541666667,0.08888888888888889
2020-06-03 00:00:00-03:00,1.8002743055555557,158.6703423611111,78.71044305555556,27.266593055555557,1010.0967534722222,64.48826597222222,248.8327375,306.1863861111111,0.008333333333333333
2020-06-04 00:00:00-03:00,2.2451305555555554,166.57820833333332,81.41998402777777,26.99308333333333,1009.7813909722222,196.33626458333333,213.07940069444444,205.58386180555556,0.015277777777777779
2020-06-05 00:00:00-03:00,2.1575375,185.72677152777777,81.86908194444445,26.420234722222222,1010.5432027777778,257.4537465277778,234.36203541666666,243.46846736111112,0.018055555555555557
2020-06-06 00:00:00-03:00,2.6904881944444443,180.28646805555556,88.09731805555556,25.30044375,1010.1314861111111,89.20742222222222,173.89247430555554,135.78494930555556,0.14583333333333334
